"","X","Peak","Direction","Stations_After_Treeline","Peak_ID","Long","Lat","Country","present_elevation","change_in_treeline_NDVI","change_in_treeline_elevation","dist_coast","Lat_scaled","Long_scaled"
"1",1,"Abercrombie Mtn.","E",10,1235,-117.4545424,48.92828211,"United States",1914,-0.234765315409872,-277.542090324442,450581.96875,0.636665828777296,-0.363548440207523
"2",2,"Abercrombie Mtn.","N",15,1235,-117.4599805,48.92923243,"United States",1819,-0.120710588970036,-238.514682107749,449668.8125,0.636737407804693,-0.36403137118022
"3",3,"Abercrombie Mtn.","NW",16,1235,-117.460951,48.92897812,"United States",2066,-0.102356453862082,-99.9552316320828,449668.8125,0.63671825292796,-0.364117556522342
"4",4,"Abercrombie Mtn.","SE",14,1235,-117.459049,48.92768854,"United States",1874,-0.222723556702089,-424.138606839584,449668.8125,0.636621120507143,-0.363948649236697
"5",5,"Abercrombie Mtn.","SW",11,1235,-117.4619571,48.92707986,"United States",1968,-0.125012216102911,-140.186899148317,449919.75,0.636575274137082,-0.364206903325755
"6",6,"Arc Dome","N",10,1179,-117.3527134,38.83638047,"United States",3162,0.0162218546754591,71.8357531897959,558489.625,-0.123466025734154,-0.354505506458847
"7",7,"Arc Dome","S",7,1179,-117.3527939,38.83187711,"United States",3280,0.00866353458199443,41.7124593825024,558257.6875,-0.123805223192715,-0.354512655268781
"8",8,"Arc Dome","SE",16,1179,-117.351978,38.8321315,"United States",3295,-0.00596107388710698,-31.378064854593,558257.6875,-0.123786062290304,-0.354440199193935
"9",9,"Arc Dome","SW",10,1179,-117.3544229,38.83152283,"United States",3126,-0.00847343254696054,-29.2503731645675,558257.6875,-0.123831907907155,-0.354657318764216
"10",10,"Arc Dome","W",10,1179,-117.3550722,38.83280435,"United States",3184,-0.00144100211348408,-3.62203779251149,558257.6875,-0.123735382573383,-0.354714979910677
"11",11,"Birkenhead Peak","E",31,741,-122.6011335,50.51177801,"Canada",1160,0.0607873292113464,684.683163448313,118769.7578125,0.755936281266395,-0.820591938118973
"12",12,"Birkenhead Peak","NW",31,741,-122.6439121,50.5243255,"Canada",1408,-0.0902144934170797,-966.362181391628,116844.3984375,0.756881370426337,-0.824390895642478
"13",13,"Birkenhead Peak","SE",25,741,-122.6134927,50.50690557,"Canada",1247,0.0807519904867143,950.507205444673,117064.28125,0.755569284342989,-0.821689498016316
"14",14,"Birkenhead Peak","SW",25,741,-122.6293032,50.50509622,"Canada",1633,0.0110144045491691,95.2662688286061,115830.9921875,0.755433002339852,-0.82309355092888
"15",15,"Blanca Peak","NE",29,1089,-105.4447594,37.60113581,"United States",3590,-0.0466015222422862,-77.3570423700653,1211851,-0.216505855854929,0.702981448183544
"16",16,"Blanca Peak","S",10,1089,-105.4892646,37.55800839,"United States",3357,0.0368827587648493,105.133783925583,1204422.25,-0.21975425510755,0.69902915978759
"17",17,"Blanca Peak","SE",23,1089,-105.4668639,37.55712796,"United States",3588,-0.0469923407184214,-122.092485362865,1205718,-0.219820569952119,0.701018456019742
"18",18,"Blanca Peak","SW",19,1089,-105.5163601,37.55963,"United States",3421,0.0819030231646818,127.565953385876,1202481.25,-0.21963211386395,0.696622941407882
"19",19,"Blanca Peak","W",25,1089,-105.516721,37.58149632,"United States",3724,0.0409965955952372,133.307313315271,1204357.375,-0.217985121357893,0.696590891650053
"20",20,"Borah Peak","N",13,664,-113.7794838,44.15725273,"United States",2892,-0.079045777262246,-148.07764302639,1077961.125,0.277307251978086,-0.0371845218512437
"21",21,"Borah Peak","NE",25,664,-113.7596273,44.15121754,"United States",2913,-0.0790378438152548,-307.163236383568,1080212.75,0.276852675592913,-0.0354211635350422
"22",22,"Borah Peak","NW",11,664,-113.7902345,44.14490535,"United States",3081,-0.00582268972658728,-15.8618996909622,1077793.125,0.276377235298122,-0.0381392387575466
"23",23,"Borah Peak","S",13,664,-113.7848778,44.09170916,"United States",3102,-0.00555696394249994,-5.04874671019843,1082295.5,0.27237044648863,-0.0376635365193681
"24",24,"Borah Peak","SW",10,664,-113.7951167,44.12855142,"United States",2946,-0.0434857995921901,-121.960004786432,1078269,0.275145441372369,-0.0385728029794063
"25",25,"Cerro Chirippo","N",17,36,-83.50996427,9.477636466,"Costa Rica",3509,0.235769984798349,2601.98830063498,45807.8671875,-2.33479520054837,2.65090295533149
"26",26,"Cerro Chirippo","NW",38,36,-83.51062867,9.476486018,"Costa Rica",3495,0.156698525645568,3485.80422050875,45139.34765625,-2.33488185341153,2.65084395322814
"27",27,"Cerro Chirippo","S",45,36,-83.51014263,9.468611245,"Costa Rica",3517,0.185543117202652,3957.14967332449,44478.52734375,-2.33547498897882,2.65088711605522
"28",28,"Charleston Peak","E",13,177,-115.6944504,36.2716355,"United States",3205,0.0036795757559096,19.6617645045726,436452.375,-0.31664511327776,-0.207243307607041
"29",29,"Charleston Peak","NE",12,177,-115.6947488,36.27228136,"United States",3304,0.000646012899720327,2.51518735380932,436452.375,-0.31659646647391,-0.207269807046598
"30",30,"Charleston Peak","NW",19,177,-115.6963118,36.27232544,"United States",3321,-0.0535542660173161,-330.928073749727,436452.375,-0.316593146325404,-0.207408609405938
"31",31,"Charleston Peak","S",19,177,-115.6955914,36.27076619,"United States",3346,-0.00251659314971031,-12.3722096130505,436452.375,-0.316710590553105,-0.20734463421741
"32",32,"Charleston Peak","SE",25,177,-115.68119,36.25914896,"United States",3317,-0.0536058836274914,-265.871298976578,435770.75,-0.317585611624376,-0.206065716560474
"33",33,"Charleston Peak","SW",24,177,-115.6963624,36.27105197,"United States",3326,0.00180935176017211,15.2712218021256,436452.375,-0.316689065325341,-0.20741310294361
"34",34,"Chatsquot Mtn.","N",25,483,-127.4848385,53.1796278,"Canada",1139,-0.0552644659999633,-211.48584418139,16183.5029296875,0.956881324209826,-1.25428981164299
"35",35,"Chatsquot Mtn.","NW",13,483,-127.4925062,53.14943381,"Canada",1060,-0.0110322456236936,-49.0835533566385,11116.140625,0.954607083493604,-1.25497074244958
"36",36,"Chatsquot Mtn.","S",13,483,-127.4721535,53.11728466,"Canada",1230,-0.054777110593228,-144.540365438923,9330.2490234375,0.95218557822312,-1.25316331904656
"37",37,"Chatsquot Mtn.","SE",23,483,-127.4337494,53.1216862,"Canada",1158,-0.0251470877437686,-166.84558940025,13347.48828125,0.952517106500174,-1.24975283939953
"38",38,"Cloud Peak","E",43,350,-107.0574931,44.36974314,"United States",2853,-0.00676312751217145,-29.336190230008,1710928.375,0.293312236487546,0.559762483022764
